Номер эпохи, Веса нейрона, Выходной вектор, Ошибка 
0, w0:  0.3068 w1:  0.0049 w2:  0.0065 w3:  0.3061 w4:  0.8986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
1, w0:  0.6068 w1:  0.0049 w2:  0.0065 w3:  0.6061 w4:  1.7986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
2, w0:  0.9068 w1:  0.0049 w2:  0.0065 w3:  0.9061 w4:  2.6986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
3, w0:  0.6068 w1:  0.0049 w2: -0.2935 w3:  0.6061 w4:  2.9986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
4, w0:  0.6068 w1:  0.0049 w2: -0.2935 w3:  0.6061 w4:  3.5986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
5, w0:  0.6068 w1: -0.2951 w2: -0.2935 w3:  0.3061 w4:  3.8986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
6, w0:  0.3068 w1: -0.2951 w2: -0.2935 w3:  0.3061 w4:  4.1986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
7, w0:  0.3068 w1: -0.2951 w2: -0.5935 w3:  0.0061 w4:  4.4986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
8, w0:  0.0068 w1: -0.5951 w2: -0.5935 w3: -0.2939 w4:  4.4986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
9, w0: -0.2932 w1: -0.5951 w2: -0.5935 w3: -0.2939 w4:  4.7986 , 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
10, w0: -0.5932 w1: -0.5951 w2: -0.5935 w3: -0.2939 w4:  5.0986 , 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
11, w0: -0.5932 w1: -0.5951 w2: -0.5935 w3: -0.2939 w4:  5.3986 , 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
12, w0: -0.5932 w1: -0.5951 w2: -0.5935 w3: -0.5939 w4:  5.3986 , 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
13, w0: -0.5932 w1: -0.5951 w2: -0.8935 w3: -0.5939 w4:  5.3986 , 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
14, w0: -0.5932 w1: -0.8951 w2: -0.8935 w3: -0.5939 w4:  5.3986 , 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 , -1.000000
15, w0: -0.5932 w1: -0.8951 w2: -0.8935 w3: -0.2939 w4:  5.6986 , 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 , -1.000000
16, w0: -0.5932 w1: -0.8951 w2: -0.8935 w3: -0.2939 w4:  5.6986 , 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 , 0.000000
